,fever,respiratory,pneumonia,cough,headache,pain
People's Republic of China,0,0,0,0,1,1
Nigeria,2,4,0,0,0,0
Republic of the Philippines,1,0,0,0,0,0
United States,9,8,0,6,3,2
Australia,1,0,0,0,0,1
Israel,0,1,0,0,0,0
United Kingdom,0,0,0,2,0,2
Bangladesh,0,0,0,1,0,0
Malaysia,0,1,0,1,0,0
South Africa,0,0,0,1,0,0
Pakistan,0,0,0,1,0,0
Jamaica,0,1,0,0,0,0
Egypt,0,1,0,0,0,0
Senegal,0,0,0,0,0,1
India,0,0,0,1,0,1
Switzerland,0,1,0,0,0,0
Brazil,0,0,1,0,0,0
Ireland,0,0,0,0,0,1
Republic of Korea,0,1,0,0,0,0
United Arab Emirates,0,0,0,0,0,1
