,fever,respiratory,pneumonia,cough,headache,pain
Oregon,0,0,1,0,0,0
Santa Monica,0,0,0,1,0,0
Houston,0,0,1,0,0,0
Michigan,0,0,0,1,0,0
High Point,0,0,0,1,0,0
Portland,0,1,0,0,0,0
South Carolina,0,0,0,1,0,0
Manhattan,0,0,0,0,1,0
Fleming Island,0,0,0,0,0,1
San Diego,0,0,1,0,0,0
Minneapolis,0,1,0,0,0,0
Florida,1,1,0,0,0,0
Carmel,0,0,0,1,0,0
Highlands Ranch,0,0,0,0,0,1
Davenport,0,0,0,1,0,0
Santa Ana,0,0,0,0,0,1
Washington,1,0,0,0,0,0
Queens,1,0,0,0,0,0
Mesa,0,1,0,0,0,0
Lugoff,0,0,0,1,0,0
Baltimore,1,0,0,0,0,0
Mount Airy,0,0,2,0,0,0
Alexandria,1,1,0,0,0,0
Fresno,0,1,0,0,0,0
Los Angeles,0,0,0,1,0,0
