,fever,respiratory,pneumonia,cough,headache,pain
Paoli,1,0,0,0,0,1
Lanham,0,2,0,0,0,0
Marine Corps Base Camp Pendleton,0,0,0,1,0,0
Bordentown,0,0,0,0,0,1
Lowell,1,0,0,0,0,0
Matthews,0,0,0,0,0,1
Manhattan,1,0,0,0,0,0
Boston,0,2,0,0,0,0
Scottsdale,0,1,0,0,0,0
Maryland,1,0,0,0,0,0
Hilliard,1,0,0,0,0,0
Houston,0,0,0,0,0,4
Georgia,2,0,0,0,0,0
Delaware,0,0,0,1,0,0
St Joseph,0,1,0,0,0,0
Texas,0,1,0,0,0,0
Philadelphia,0,0,0,1,0,0
Fortuna Foothills,1,0,1,0,0,0
Peru,0,0,2,0,0,0
Port Ewen,0,0,0,0,0,1
Franklin Square,1,0,0,1,0,0
The Gulch,0,0,0,1,0,0
